Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,07/31/23,Savannah,GA,31.9,-81.1,6,0
2,07/31/23,Suffolk,VA,36.7,-76.6,6,1
3,07/31/23,Westlake Village,CA,34.2,-118.8,3,1
4,07/31/23,Morrow,OH,39.3,-84.2,5,1
5,07/31/23,Concord,NH,43.2,-71.5,4,0
6,07/31/23,Cheyenne,WY,41.2,-104.8,2,1
7,07/30/23,Aquinnah,MA,41.3,-70.8,1,1
8,07/30/23,Markham,ON,43.8,-79.3,2,1
9,07/30/23,Pittsburgh,PA,40.5,-79.7,1,1
10,07/30/23,Boonton Township,NJ,40.9,-74.5,1,0
11,07/30/23,Cape Charles,VA,37.3,-76,7,1
12,07/30/23,Saratoga Springs,NY,43.1,-73.8,12,0
13,07/30/23,Wethersfield,CT,41.7,-72.7,4,1
14,07/30/23,KCMO,MO,39,-94.6,2,0
15,07/30/23,Scarborough,ME,43.6,-70.4,3,0
16,07/30/23,Easton,PA,40.6,-75.2,1,1
17,07/30/23,Portersville,PA,40.9,-80.1,1,1
18,07/30/23,Easton,PA,40.6,-75.2,1,1
19,07/29/23,Hackensack,NJ,40.9,-74,1,0
20,07/29/23,Lexington,KY,38.1,-84.5,1,1
21,07/29/23,Loveland,OH,39.2,-84.2,1,1
22,07/29/23,Belchertown,MA,42.3,-72.4,1,1
23,07/29/23,Leonia,NJ,40.9,-74,1,0
24,07/29/23,Coventry,CT,41.8,-72.3,2,1
25,07/29/23,Wilmington,OH,39.5,-83.9,1,1
26,07/29/23,Parkesburg,PA,40,-75.9,2,1
27,07/29/23,Cannon Township,MI,43.1,-85.5,6,1
28,07/29/23,Springfield,MO,37.1,-93.2,1,0
29,07/29/23,Rainbow Lake,NY,44.5,-74.2,2,1
30,07/29/23,West Jefferson,NC,36.4,-81.5,3,1
31,07/29/23,O'Fallon,MO,38.7,-90.7,5,1
32,07/29/23,Homer City,PA,40.5,-79.2,1,1
33,07/28/23,Gettysburg,PA,39.8,-77.2,1,1
34,07/28/23,Amana,IA,41.8,-91.9,3,1
35,07/28/23,Abingdon,VA,36.7,-82,3,1
36,07/28/23,Atlanta,GA,33.8,-84.3,4,1
37,07/28/23,Congers,NY,41.1,-73.9,1,1
38,07/28/23,Lombard,IL,41.9,-88,1,1
39,07/28/23,Victor,NY,43,-77.4,1,0
40,07/28/23,Steeleville,IL,38,-89.7,1,1
41,07/28/23,Dunrobin,ON,45.5,-76,1,1
42,07/28/23,Chatham,MA,41.7,-70,2,0
43,07/28/23,College Station,TX,30.6,-96.3,1,0
44,07/28/23,New Liskeard,ON,47.5,-79.7,1,1
45,07/27/23,Savannah,GA,31.9,-81,8,1
46,07/27/23,Lincoln,VT,44.1,-73,1,1
47,07/27/23,Loveland,CO,40.4,-105,1,1
48,07/26/23,Sarnia,ON,43,-82.4,1,1
49,07/26/23,Savannah,GA,31.9,-81.1,5,0
50,07/26/23,Highland,UT,40.4,-111.8,1,1
51,07/26/23,Suttons Bay,MI,45,-85.7,1,1
52,07/26/23,O'Fallon,IL,38.6,-89.9,5,1
53,07/26/23,Repentigny,QC,45.7,-73.4,1,1
54,07/26/23,Pinopolis,SC,33.2,-80.1,20,0
55,07/26/23,Leland,MS,33.4,-90.9,1,1
56,07/25/23,Manchester,VT,43.2,-73,8,0
