Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,07/31/18,Morrisville,PA,40.2,-74.8,4,0
2,07/31/18,Glen Haven,NS,44.6,-63.9,1,1
3,07/31/18,Glen Haven,NS,44.6,-63.9,1,1
4,07/31/18,Glen Haven,NS,44.6,-63.9,1,1
5,07/31/18,Tulsa,OK,36.2,-95.9,2,0
6,07/30/18,Owasso,OK,36.3,-95.8,3,0
7,07/30/18,Oxford,CT,41.4,-73.2,5,0
8,07/30/18,Bristol,VT,44.1,-73.1,2,1
9,07/30/18,Glen Haven,NS,44.6,-63.9,18,1
10,07/29/18,Islesboro,ME,44.3,-68.9,1,1
11,07/29/18,Deep River,CT,41.4,-72.5,3,1
12,07/29/18,Piedmont,OK,35.7,-97.7,26,0
13,07/29/18,East Alton,IL,38.9,-90.1,7,1
14,07/29/18,Mont-Tremblant,QC,46.1,-74.7,1,0
15,07/29/18,Tulsa,OK,36.2,-96,8,1
16,07/28/18,Newburgh,IN,37.9,-87.4,1,1
17,07/28/18,Virginia Beach,VA,36.9,-76.1,20,0
18,07/27/18,New Hope,PA,40.4,-75,1,0
19,07/27/18,Erieville,NY,42.9,-75.7,4,1
20,07/26/18,Newport News,VA,37.1,-76.5,1,1
21,07/26/18,Sharon,MA,42.1,-71.2,4,0
22,07/26/18,Albuquerque,NM,35.1,-106.5,1,1
23,07/26/18,Charleston,WV,38.3,-81.6,20,0
24,07/26/18,New Hope,PA,40.4,-75,5,0
25,07/26/18,Mont-Blanc,QC,46.1,-74.5,1,0
26,07/25/18,Madison,VA,38.4,-78.3,2,0
27,07/25/18,Fenton,MI,42.7,-83.7,1,0
28,07/25/18,Naperville,IL,41.7,-88.1,1,1
29,07/25/18,Mason,OH,39.4,-84.3,1,1
30,07/24/18,Fairborn,OH,39.8,-84,1,1
31,07/24/18,Canton,OH,40.8,-81.4,1,1
32,07/23/18,Tulsa,OK,36.2,-96,1,1
33,07/23/18,Bixby,OK,36,-95.9,3,0
34,07/23/18,Bellville,OH,40.6,-82.5,4,0
35,07/22/18,Pray,MT,45.4,-110.7,7,0
36,07/22/18,Gibson City,IL,40.5,-88.4,2,1
37,07/22/18,Fairfield,PA,39.8,-77.4,7,0
38,07/20/18,Jenks,OK,36,-96,12,0
39,07/20/18,Brown City,MI,43.2,-83,132,1
40,07/20/18,Langhorne,PA,40.2,-74.9,1,0
41,07/19/18,Avon Lake,OH,41.5,-82,1,1
42,07/19/18,Belfast,ME,44.4,-69,2,0
43,07/19/18,Franktown,CO,39.3,-104.7,1,1
