Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,07/31/17,Saranac,NY,44.7,-73.7,2,0
2,07/31/17,West Point,IN,40.3,-87,2,1
3,07/30/17,Middleton,MA,42.6,-71,1,1
4,07/30/17,Plymouth,IN,41.3,-86.3,1,0
5,07/29/17,West Nyack,NY,41.1,-74,1,1
6,07/28/17,Madison,VA,38.4,-78.3,2,0
7,07/28/17,Tulsa,OK,36.2,-95.9,1,1
8,07/27/17,Milford Mill,MD,39.4,-76.8,1,0
9,07/27/17,Madison,VA,38.4,-78.3,3,0
10,07/27/17,Verona,WI,43,-89.6,1,0
11,07/26/17,Moline,IL,41.5,-90.5,1,1
12,07/26/17,Northport,NY,40.9,-73.3,1,1
13,07/25/17,Elizabethtown,PA,40.2,-76.6,2,0
14,07/25/17,Wilno,ON,45.5,-77.5,1,1
15,07/24/17,Indianapolis,IN,39.8,-85.9,1,0
16,07/24/17,New Ipswich,NH,42.7,-71.8,6,0
17,07/23/17,Monroe,NY,41.3,-74.2,2,0
18,07/23/17,Oxford,CT,41.4,-73.1,2,1
19,07/23/17,Thunder Bay,ON,48.4,-89.2,2,1
20,07/22/17,Coulterville,CA,37.8,-120.3,6,1
21,07/22/17,Sudbury,VT,43.8,-73.2,1,0
22,07/22/17,Crofton,MD,39,-76.7,2,0
23,07/22/17,Littleton,MA,42.5,-71.5,15,1
24,07/22/17,White Bear Lake,MN,45.1,-93,1,0
25,07/22/17,Erlanger,KY,39,-84.6,1,0
26,07/21/17,Leesburg,VA,39.1,-77.6,2,0
27,07/21/17,Lancaster,PA,40,-76.3,5,0
28,07/21/17,Conneaut,OH,41.9,-80.7,1,1
29,07/20/17,Windsor,ME,44.3,-69.6,1,1
30,07/20/17,Selinsgrove,PA,40.8,-76.8,2,1
31,07/20/17,Lovettsville,VA,39.2,-77.7,1,0
32,07/20/17,Hobart,IN,41.5,-87.2,2,1
33,07/20/17,Lancaster,PA,40.1,-76.3,1,0
34,07/19/17,Ottawa,ON,45.1,-75.6,1,1
35,07/19/17,Rockford,IL,42.2,-89,17,0
36,07/18/17,Snyder,CO,40.3,-103.6,4,1
37,07/18/17,Orient,OH,39.8,-83.2,2,1
38,07/18/17,Endicott,NY,42.1,-76,1,0
39,07/17/17,Cumberland Bay,NB,46,-65.9,7,1
40,07/17/17,Reston,VA,39,-77.3,4,1
41,07/17/17,Burnsville,MN,44.8,-93.3,1,1
42,07/17/17,Kenora,ON,49.8,-94.4,6,0
43,07/16/17,Chester,NY,41.4,-74.3,1,1
44,07/15/17,Chester,NY,41.4,-74.3,1,1
45,07/15/17,Jordan,NY,43.1,-76.5,1,0
46,07/15/17,Butler,KY,38.8,-84.4,1,0
47,07/15/17,Galloway,NJ,39.5,-74.5,1,0
48,07/15/17,Grand Blanc,MI,42.9,-83.6,1,1
49,07/15/17,Fort Wayne,IN,41,-85.1,1,0
50,07/15/17,North Canton,OH,40.9,-81.4,3,1
51,07/15/17,Canal Fulton,OH,40.9,-81.6,3,1
52,07/14/17,Harrisville,MI,44.7,-83.3,1,0
53,07/14/17,West Point,IN,40.3,-87,2,0
54,07/13/17,Wernersville,PA,40.3,-76.1,1,0
55,07/13/17,Syracuse,NY,43.1,-76.3,2,1
56,07/13/17,Mishawaka,IN,41.7,-86.2,2,1
57,07/13/17,,NJ,39.8,-75.1,3,0
58,07/11/17,Dover,PA,40,-76.8,2,1
59,07/11/17,Sioux City,IA,42.5,-96.4,2,0
60,07/10/17,Brimson,MN,47.3,-91.8,2,1
61,07/10/17,,ON,49.2,-93.9,8,0
62,07/10/17,Spring Hill,FL,28.5,-82.6,3,1
63,07/09/17,Sussex East,NB,45.7,-65.5,1,0
64,07/09/17,Fairfax,VA,38.8,-77.4,9,1
65,07/09/17,Cobourg,ON,44,-78.2,1,1
66,07/09/17,Pearland,TX,29.6,-95.4,2,0
67,07/09/17,Brick,NJ,40.1,-74.1,6,0
68,07/09/17,Hinsdale,IL,41.8,-87.9,1,0
69,07/09/17,Arlington Heights,IL,42.1,-88,1,0
70,07/08/17,Wyandotte,MI,42.2,-83.1,1,0
71,07/08/17,Campbellsport,WI,43.6,-88.3,2,0
72,07/06/17,Harrisburg,PA,40.3,-76.8,2,0
73,07/06/17,Leonia,NJ,40.9,-74,1,1
