Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,07/29/09,McClure,PA,40.7,-77.4,1,0
2,07/28/09,Tequisquiapan,QUE,20.5,-99.9,1,0
3,07/28/09,Tequisquiapan,QUE,20.5,-99.9,1,0
4,07/28/09,Alexandria,VA,38.8,-77.1,1,0
5,07/23/09,Madison,WI,43.1,-89.4,1,0
6,07/23/09,Rush,KY,38.3,-82.7,1,0
7,07/23/09,Dayton,PA,40.9,-79.3,1,0
8,07/22/09,Sunderland,MA,42.5,-72.6,1,0
9,07/21/09,Garden City,KS,38,-100.9,1,0
10,07/21/09,McClure,PA,40.7,-77.4,1,0
11,07/16/09,Thunder Bay,ON,48.4,-89.3,1,0
12,07/14/09,Little Silver,NJ,40.3,-74,1,0
13,07/14/09,Overland Park,KS,39,-94.7,1,0
14,07/11/09,Norfolk,VA,36.9,-76.3,1,0
15,07/08/09,Thunder Bay,ON,48.4,-89.3,1,0
16,07/08/09,davenport,FL,28.2,-81.6,1,0
17,07/05/09,Chassell,MI,47,-88.6,1,0
18,07/05/09,Irons Lake county mi,MI,42.9,-85.6,1,0
19,07/05/09,Lewiston,CA,40.8,-122.8,1,0
20,07/04/09,South Park,PA,40.3,-80,1,0
21,07/01/09,Sault Ste. Marie,ON,46.5,-84.3,1,0
22,06/30/09,East Windsor,NJ,40.3,-74.5,1,0
23,06/28/09,oxford,MI,42.8,-83.2,1,0
24,06/27/09,Wilderville,OR,42.4,-123.6,1,0
25,06/26/09,Claremore,OK,36.3,-95.6,1,0
26,06/23/09,Springfield,MA,42.1,-72.6,1,0
27,06/23/09,Sauk Centre,MN,45.7,-95,1,0
28,06/23/09,Whitehouse,OH,41.5,-83.8,1,0
29,06/21/09,Elkhart,IN,41.7,-86,1,0
30,06/21/09,Kentwood,MI,42.9,-85.6,1,0
31,06/20/09,Waukesha,WI,43,-88.2,1,0
32,06/15/09,wauwatosa,WI,43,-88,1,0
33,06/12/09,welland,ON,43,-79.3,1,0
34,06/11/09,Rochester,MN,44.1,-92.5,1,0
35,06/11/09,Rock Island,IL,41.5,-90.6,1,0
36,06/11/09,eau claire,WI,44.7,-91.5,1,0
37,06/09/09,eau claire,WI,44.7,-91.5,1,0
38,06/05/09,Mishicot,WI,44.3,-87.6,1,0
39,06/03/09,Salem,NH,42.8,-71.2,1,0
40,06/03/09,San Antonio,TX,29.5,-98.5,1,0
41,06/03/09,Converse,TX,29.5,-98.2,1,0
42,06/03/09,San Antonio,TX,29.5,-98.5,1,0
43,06/02/09,Eau Claire,WI,44.7,-91.5,1,0
44,06/02/09,Dexter,MI,42.4,-83.9,1,0
45,06/02/09,Arlington,VA,38.9,-77.1,1,0
46,06/01/09,Sylvania,OH,41.7,-83.7,1,0
47,05/31/09,Santee,CA,32.9,-117,1,0
48,05/31/09,Wheeling,IL,42.1,-87.9,1,0
49,05/29/09,Creve Coeur,MO,38.7,-90.5,1,0
50,05/27/09,Los Alamitos,CA,33.8,-118.1,1,0
51,05/27/09,Los Alamitos,CA,33.8,-118.1,1,0
52,05/25/09,Bettendorf,IA,41.6,-90.5,1,0
53,05/25/09,Salem,MA,42.5,-70.9,1,0
54,05/24/09,oakland,NJ,41,-74.2,1,0
55,05/22/09,Franklin,WI,42.9,-88,1,0
56,05/20/09,Hays,KS,38.8,-99.3,1,0
57,05/20/09,Milford,DE,39,-75.4,1,0
58,05/18/09,Pt. Pleasant,NJ,40.1,-74.1,1,0
59,05/17/09,Anderson,IN,40.1,-85.8,1,0
60,05/15/09,Alexandria,VA,38.8,-77.1,1,0
61,05/14/09,Lockport,IL,41.6,-88,1,0
62,05/14/09,Birmingham,AL,33.5,-86.8,1,0
63,05/12/09,MOUNTAIN VIEW,MO,37,-91.7,1,0
64,05/12/09,Clarksburg,PA,40.5,-79.4,1,0
65,05/11/09,Monterrey,NL,25.7,-100.3,1,0
66,05/10/09,Robesonia,PA,40.4,-76.1,1,0
67,05/09/09,hammonton,NJ,39.6,-74.8,1,0
68,05/08/09,Cub Run,KY,37.3,-86.1,1,0
69,05/07/09,Richmond,VA,37.5,-77.4,1,0
70,05/04/09,Herndon,VA,39,-77.4,1,0
71,05/04/09,Madison,GA,33.6,-83.5,1,0
72,05/01/09,Hutchinson,KS,38,-98.1,1,0
73,05/01/09,Port Charlotte,FL,27,-82.2,1,0
74,05/01/09,anderson,SC,34.5,-82.6,1,0
75,04/28/09,La Porte,TX,29.7,-95,1,0
76,04/26/09,Carbondale,IL,37.7,-89.2,1,0
77,04/25/09,Marietta,GA,33.9,-84.5,1,0
78,04/25/09,Rowlett,TX,32.9,-96.6,1,0
79,04/25/09,Broken Arrow,OK,36,-95.8,1,0
80,04/24/09,Brentwood,TN,36,-86.8,1,0
81,04/24/09,Merritt Island,FL,28.3,-80.7,1,0
82,04/23/09,San Antonio,TX,29.5,-98.5,1,0
83,04/21/09,decatur,GA,33.8,-84.3,1,0
84,04/19/09,Hartselle,AL,34.4,-86.9,1,0
85,04/18/09,Dallas,TX,32.8,-96.8,1,0
86,04/18/09,Pascagoula,MS,30.4,-88.6,1,0
87,04/17/09,Laurel,MS,31.7,-89.1,1,0
88,04/16/09,Lutz,FL,28.1,-82.5,1,0
89,04/14/09,Calion,AR,33.3,-92.5,1,0
90,04/14/09,Austin,TX,30.2,-97.7,1,0
91,04/13/09,Huntington Beach,CA,33.7,-118,1,0
92,04/11/09,Boerne,TX,29.8,-98.8,1,0
93,04/08/09,Rosenberg,TX,29.5,-95.9,1,0
94,04/02/09,Raceland,LA,29.7,-90.5,1,0
95,04/01/09,Austin,TX,30.2,-97.7,1,0
96,04/01/09,Austin,TX,30.2,-97.7,1,0
97,03/30/09,Port Saint Lucie,FL,27.3,-80.3,1,0
98,03/30/09,Monterrey,NL,25.7,-100.3,1,0
99,03/30/09,Saltillo,COA,25.4,-101,1,0
100,03/29/09,Piedras Negras,COA,28.4,-100.3,1,0
101,03/28/09,Clinton,MS,32.4,-90.3,1,0
102,03/27/09,Spring,TX,30.1,-95.4,1,0
103,03/26/09,Dobbin,TX,30.4,-95.8,1,0
104,03/24/09,Corpus Christi,TX,27.8,-97.4,1,0
105,03/24/09,San Antonio,TX,29.5,-98.5,1,0
106,03/24/09,Austin,TX,30.2,-97.7,1,0
