Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,07/13/01,Columbia,PA,40,-76.5,1,0
2,07/02/01,South Haven,MI,42.4,-86.2,1,0
3,07/01/01,Ashland,WI,46.5,-90.9,1,0
4,06/28/01,Warren,MN,48.3,-96.7,1,0
5,06/27/01,Leesburg,VA,39.1,-77.6,1,0
6,06/27/01,Clifford,ND,47.4,-97.4,1,0
7,06/23/01,Brownton,MN,44.7,-94.3,1,0
8,06/22/01,Dugald,MB,49.5,-96.5,1,0
9,06/17/01,Kingston,ON,44.3,-76.5,1,0
10,06/13/01,Stonington,MI,45.8,-86.6,1,0
11,06/13/01,Rib Lake,WI,45.3,-90.1,1,0
12,06/13/01,Minneapolis,MN,45,-93.3,1,0
13,06/11/01,Mequon,WI,43.2,-88,1,0
14,06/07/01,Hebron,CT,41.7,-72.4,1,0
15,06/06/01,Mount Hope,ON,44.4,-81.2,1,0
16,05/31/01,Mequon,WI,43.2,-88,1,0
17,05/30/01,Lincoln,NE,40.8,-96.7,1,0
18,05/28/01,Lincoln,NE,40.8,-96.7,1,0
19,05/28/01,Mequon,WI,43.2,-88,1,0
20,05/24/01,Holland,MI,42.7,-86.1,1,0
21,05/14/01,Newport News,VA,37.1,-76.5,1,0
22,04/29/01,Mission,TX,26.3,-98.4,1,0
23,04/22/01,Greensboro,NC,36.1,-79.8,1,0
24,04/22/01,Brentwood,TN,36,-86.8,1,0
25,04/16/01,Caldwell,TX,30.5,-96.7,1,0
26,04/14/01,Gallatin,TN,36.4,-86.5,1,0
27,04/13/01,Houston,TX,29.8,-95.4,1,0
28,04/11/01,Pasadena,TX,29.7,-95.2,1,0
29,04/10/01,Austin,TX,30.2,-97.7,1,0
30,04/10/01,San Antonio,TX,29.5,-98.5,1,0
31,04/10/01,El Campo,TX,29.2,-96.2,1,0
32,04/07/01,Needville,TX,29.4,-95.8,1,0
33,04/07/01,Houston,TX,29.8,-95.4,1,0
34,04/07/01,Pensacola,FL,30.4,-87.2,1,0
35,04/07/01,Houston,TX,29.8,-95.4,1,0
36,04/06/01,Victoria,TX,28.8,-97,1,0
37,03/22/01,Harlingen,TX,26.2,-97.7,1,0
38,03/20/01,Miami,FL,25.8,-80.2,1,0
39,03/06/01,Harlingen,TX,26.2,-97.7,1,0
40,03/06/01,McAllen,TX,26.2,-98.2,1,0
41,03/01/01,Austin,TX,30.2,-97.7,1,0
42,02/27/01,Leesburg,VA,39.1,-77.6,1,0
43,02/27/01,Tampa,FL,28,-82.5,1,0
44,02/26/01,McAllen,TX,26.2,-98.2,1,0
45,02/23/01,New Orleans,LA,30,-90.1,1,0
46,02/23/01,Port Lavaca,TX,28.5,-96.7,1,0
47,01/13/01,Plantation,FL,29,-82,1,0
