Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,06/18/06,Union,ME,44.3,-69.3,1,0
2,06/08/06,Kennebunkport,ME,43.4,-70.5,1,0
3,06/04/06,Pittsburgh,PA,40.5,-80,1,0
4,06/02/06,Bedford,NH,42.9,-71.5,1,0
5,06/01/06,South Portland,ME,43.6,-70.3,1,0
6,05/28/06,Eden Prairie,MN,44.9,-93.4,1,0
7,05/28/06,Irons  Lake county,MI,42.9,-85.6,1,0
8,05/26/06,Northfield,MA,42.7,-72.4,1,0
9,05/26/06,Lowville,NY,43.8,-75.5,1,0
10,05/24/06,Boulder Junction,WI,46.1,-89.6,1,0
11,05/24/06,thorold,ON,43.1,-79.1,1,0
12,05/24/06,Superior,WI,46.6,-92.1,1,0
13,05/24/06,Putnam Valley,NY,41.4,-73.8,1,0
14,05/24/06,Forest Lake,MN,45.3,-93,1,0
15,05/24/06,Brainerd,MN,46.4,-94.2,1,0
16,05/23/06,Chassell,MI,47,-88.6,1,0
17,05/23/06,Duluth,MN,47.1,-91.9,1,0
18,05/22/06,Randolph,NJ,40.8,-74.6,1,0
19,05/22/06,Minnetrista,MN,45,-93.5,1,0
20,05/21/06,Duluth,MN,47.1,-91.9,1,0
21,05/21/06,Clifford,ND,47.4,-97.4,1,0
22,05/21/06,Cohasset,MA,42.2,-70.8,1,0
23,05/20/06,West Windsor,NJ,40.4,-74.1,1,0
24,05/19/06,Winnipeg,MB,49.5,-97.1,1,0
25,05/19/06,Colman,SD,43.9,-96.8,1,0
26,05/18/06,Sauk Centre,MN,45.7,-95,1,0
27,05/18/06,oxford,MI,42.8,-83.2,1,0
28,05/17/06,Sabattus,ME,44.1,-70.1,1,0
29,05/17/06,Sauk Centre,MN,45.7,-95,1,0
30,05/17/06,Cedarville,MI,46,-84.3,1,0
31,05/16/06,Egg Harbor Township,NJ,39.4,-74.6,1,0
32,05/16/06,St. Catharines,ON,43.1,-79.2,1,0
33,05/15/06,Mansfield,ON,44.3,-80.1,1,0
34,05/15/06,Toronto,ON,43.7,-79.4,1,0
35,05/15/06,two rivers,WI,44.2,-87.6,1,0
36,05/15/06,Port Hope,ON,44,-78.4,1,0
37,05/14/06,Jackson,MI,42.3,-84.4,1,0
38,05/14/06,Mertzon,TX,31.3,-100.9,1,0
39,05/13/06,Wausau,WI,45,-89.7,1,0
40,05/12/06,DeLancey,NY,42.2,-74.9,1,0
41,05/12/06,Cobourg,ON,44,-78.2,1,0
42,05/12/06,Fergus Falls,MN,46.3,-96.1,1,0
43,05/12/06,Fonthill,ON,43,-79.2,1,0
44,05/12/06,Natural Bridge,NY,44.1,-75.5,1,0
45,05/12/06,goddard,KS,37.6,-97.5,1,0
46,05/11/06,New Richmond,WI,45.2,-92.6,1,0
47,05/11/06,Clarkesville,GA,34.7,-83.5,1,0
48,05/10/06,Toledo,OH,41.6,-83.5,1,0
49,05/10/06,Madison,WI,43.1,-89.4,1,0
50,05/10/06,Creston,IA,41.1,-94.4,1,0
51,05/10/06,Blooming Grove,NY,41.4,-74.2,1,0
52,05/10/06,Madison,WI,43.1,-89.4,1,0
53,05/10/06,Hopewell Jct.,NY,41.6,-73.8,1,0
54,05/10/06,Thermopolis,WY,43.7,-108.4,1,0
55,05/09/06,Wayne,IL,41.9,-88.2,1,0
56,05/09/06,Eau Claire,WI,44.7,-91.5,1,0
57,05/09/06,Baltimore,MD,39.3,-76.6,1,0
58,05/09/06,New York,NY,40.8,-74,1,0
59,05/09/06,holland,MI,42.7,-86.1,1,0
60,05/08/06,Madison,OK,41.8,-81.1,1,0
61,05/08/06,Durham,ON,44.1,-80.5,1,0
62,05/08/06,Cedar Rapids,IA,42,-91.7,1,0
63,05/08/06,Sidney,IA,40.8,-95.6,1,0
64,05/07/06,Bay City,MI,43.6,-84,1,0
65,05/07/06,Grant,MN,45.1,-92.9,1,0
66,05/06/06,Winnetka,IL,42.1,-87.8,1,0
67,05/06/06,Holmen,WI,44,-91.2,1,0
68,05/06/06,WINNIPEG,MB,49.5,-97.1,1,0
69,05/06/06,Batavia,IL,41.8,-88.3,1,0
70,05/05/06,Chester,CT,41.4,-72.5,1,0
71,05/05/06,Pinckney,MI,42.5,-83.9,1,0
72,05/05/06,Chesapeake,VA,36.7,-76.2,1,0
73,05/05/06,Fishers Island,NY,41.3,-72,1,0
74,05/05/06,Haliburton,ON,45,-78.3,1,0
75,05/05/06,Brighton,MI,42.5,-83.8,1,0
76,05/05/06,New London,CT,41.4,-72.1,1,0
77,05/05/06,Wantage,NJ,41.2,-74.6,1,0
78,05/05/06,Wayland,MA,42.4,-71.4,1,0
79,05/05/06,Toronto,ON,43.7,-79.4,1,0
