Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,05/23/12,Pittsfield,ME,44.8,-69.4,1,0
2,05/21/12,Conway,NH,44,-71.1,1,0
3,05/20/12,Hyde Park,VT,44.6,-72.6,1,0
4,05/20/12,Winnipeg,MB,49.9,-97.1,1,0
5,05/19/12,Chassell,MI,47,-88.6,1,0
6,05/19/12,Rockland,ME,44.1,-69.1,1,0
7,05/19/12,Palgrave,ON,44,-79.8,1,0
8,05/18/12,Huntsville,ON,45.3,-79.2,1,0
9,05/17/12,Bark River,MI,45.7,-87.3,1,0
10,05/17/12,Atlantic Mine,MI,47.1,-88.7,1,0
11,05/17/12,Markdale,ON,44.3,-80.7,1,0
12,05/14/12,Lakeville,NY,42.8,-77.7,1,0
13,05/13/12,Cambridge,ON,43.4,-80.3,1,0
14,05/13/12,Dieppe,NB,46.1,-64.7,1,0
15,05/12/12,Winnipeg,MB,49.9,-97.1,1,0
16,05/12/12,Rochester,MN,44.1,-92.5,1,0
17,05/12/12,Palgrave,ON,44,-79.8,1,0
18,05/11/12,Bridgetown,NS,44.9,-65.3,1,0
19,05/10/12,Oakbank,MB,49.9,-96.8,1,0
20,05/10/12,thunder bay,ON,48.4,-89.2,1,0
21,05/10/12,kenora,ON,49.8,-94.4,1,0
22,05/09/12,Ironwood,MI,46.5,-90.2,1,0
23,05/09/12,winnipeg,MB,49.9,-97.1,1,0
24,05/09/12,Sauk Centre,MN,45.7,-95,1,0
25,05/08/12,Lake Geneva,WI,42.6,-88.5,1,0
26,05/08/12,Winnipeg,MB,49.9,-97.1,1,0
27,05/08/12,Oak Grove,MN,45.3,-93.3,1,0
28,05/07/12,Norwich,VT,43.8,-72.4,1,1
29,05/07/12,Norwich,VT,43.8,-72.4,1,1
30,05/07/12,Hayden,ID,47.8,-116.5,1,0
31,05/07/12,Whitewater,WI,42.8,-88.7,1,0
32,05/07/12,Caledonia,NS,46.2,-60,1,0
33,05/06/12,Wheeling,IL,42.1,-87.9,1,0
34,05/06/12,Lowville,NY,43.8,-75.5,1,0
35,05/06/12,Thunder Bay,ON,48.4,-89.2,1,0
36,05/06/12,Toronto,ON,43.7,-79.4,1,0
37,05/06/12,Lac du Flambeau,WI,46,-89.9,1,0
38,05/05/12,Ely,MN,47.9,-91.9,1,1
39,05/05/12,Toronto,ON,43.7,-79.4,1,0
40,05/05/12,Gilbert,MN,47.5,-92.4,1,0
41,05/04/12,Charlotte,VT,44.3,-73.2,1,1
42,05/04/12,Campbell,MN,46.1,-96.4,1,0
43,05/03/12,Somerville,NJ,40.3,-74.6,1,0
44,05/03/12,Wasaga Beach,ON,44.5,-80,1,0
45,05/03/12,plymouth,MN,45,-93.5,1,0
46,05/03/12,Holt,MI,42.6,-84.5,1,0
47,05/03/12,Lakeville,NY,42.8,-77.7,1,0
48,05/02/12,Shakopee,MN,44.8,-93.5,1,0
49,05/02/12,Lyndon Station,WI,43.7,-89.9,1,1
50,05/02/12,Ely,MN,47.9,-91.9,1,0
51,05/01/12,Arlington,VA,38.9,-77.1,1,0
52,05/01/12,Lorain,OH,41.5,-82.2,1,0
53,05/01/12,Gardiner,NY,41.7,-74.2,1,0
54,04/30/12,Grand Forks,ND,47.9,-97.1,1,0
55,04/29/12,Kirkland,IL,42.1,-88.9,1,0
56,04/29/12,sterling heights,MI,42.6,-83.1,1,1
57,04/28/12,Dugald,MB,49.9,-96.8,1,0
58,04/28/12,Waynesburg,PA,39.9,-80.2,1,0
59,04/28/12,Clinton,CT,41.3,-72.5,1,0
60,04/28/12,Lions Head,ON,45,-81.3,1,0
61,04/28/12,Aberdeen,NJ,40.4,-74.2,1,0
62,04/27/12,Kentwood,MI,42.9,-85.6,1,0
63,04/27/12,Bangor,ME,44.9,-68.8,1,0
64,04/27/12,St. Louis Park,MN,44.9,-93.3,1,0
65,04/27/12,Portsmouth,NH,43.1,-70.8,1,0
66,04/26/12,St Paul,MN,45,-93.2,1,0
67,04/26/12,Forest City,IA,43.3,-93.6,1,0
68,04/26/12,Sauk Centre,MN,45.7,-95,1,1
69,04/25/12,Oshawa,ON,43.9,-78.9,1,0
70,04/25/12,Duluth,MN,47.1,-91.9,1,0
71,04/25/12,Minneapolis,MN,45,-93.3,1,0
72,04/25/12,Haverford,PA,40,-75.3,1,1
73,04/25/12,Saint Onge,SD,44.5,-103.7,1,0
74,04/24/12,Lansing,IL,41.6,-87.5,1,0
75,04/24/12,Chambly,QC,45.5,-73.3,1,0
76,04/24/12,Easthampton,MA,42.3,-72.7,1,0
77,04/24/12,Midland,MI,43.5,-84.3,1,0
78,04/23/12,Watertown,MA,42.4,-71.2,1,0
79,04/23/12,Glenview,IL,42.1,-87.8,1,1
80,04/23/12,Eau Claire,WI,44.7,-91.5,1,0
81,04/23/12,sterling heights,MI,42.6,-83.1,1,0
82,04/23/12,Glenwood,IA,41.1,-95.7,1,1
83,04/22/12,Kalamazoo,MI,42.2,-85.5,1,0
84,04/21/12,Elmhurst,IL,41.9,-87.9,1,0
85,04/21/12,Hawley,PA,41.5,-75.2,1,0
86,04/21/12,Martinsville,IN,39.5,-86.5,1,0
