Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,06/10/11,Scarborough,ON,43.8,-79.3,1,0
2,06/10/11,Bethel,VT,43.8,-72.6,1,0
3,06/08/11,Algonquin Provincial Park,ON,45.8,-78.7,1,0
4,06/07/11,Winnipeg,MB,49.9,-97.1,1,0
5,06/07/11,Markdale,ON,44.3,-80.7,1,0
6,06/05/11,Viking,MN,48.2,-96.5,1,0
7,06/01/11,Brunswick,ME,43.9,-70,1,0
8,06/01/11,East Tawas,MI,44.4,-83.5,1,0
9,05/31/11,Thunder Bay,ON,48.4,-89.3,1,0
10,05/31/11,Rapid River,MI,46,-86.8,1,0
11,05/31/11,Glenwood Springs,CO,39.6,-107.3,1,0
12,05/30/11,Niagara,WI,45.7,-88,1,0
13,05/28/11,Cushing,WI,45.6,-92.6,1,0
14,05/27/11,Cambridge Station,NS,45.1,-64.6,1,0
15,05/26/11,Toronto,ON,43.7,-79.4,1,0
16,05/26/11,Billings,MT,45.6,-108.4,1,0
17,05/26/11,Minneapolis,MN,44.9,-93.3,1,0
18,05/25/11,Grant,MN,45.1,-92.9,1,0
19,05/25/11,Careywood,ID,48.1,-116.6,1,0
20,05/25/11,Scarborough,ME,43.6,-70.4,1,0
21,05/24/11,Milwaukee,WI,43,-87.9,1,0
22,05/24/11,Corbeil,ON,46.3,-79.3,1,0
23,05/23/11,wilton,CT,41.2,-73.4,1,0
24,05/23/11,Thorndike,ME,44.6,-69.3,1,0
25,05/22/11,Newmarket,ON,44.1,-79.5,1,0
26,05/22/11,Mahtomedi,MN,45.1,-92.9,1,0
27,05/22/11,West Allis,WI,43,-88,1,0
28,05/22/11,Shawano,WI,44.8,-88.6,1,0
29,05/22/11,kenora,ON,49.8,-94.4,1,0
30,05/22/11,Toronto,ON,43.7,-79.4,1,0
31,05/21/11,Chassell,MI,47,-88.6,1,0
32,05/21/11,La Crosse,WI,43.8,-91.2,1,0
33,05/20/11,Ironwood,MI,46.5,-90.2,1,0
34,05/20/11,Danbury,CT,41.4,-73.5,1,0
