Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,07/27/17,Wilno,ON,45.5,-77.5,1,0
2,07/13/17,Maynard,MA,42.4,-71.4,1,1
3,06/15/17,Kingston,ON,44.2,-76.5,1,0
4,06/15/17,,BC,50.2,-119.1,1,0
5,06/13/17,Portage,WI,43.5,-89.5,1,0
6,06/11/17,Ottawa,ON,45.3,-75.5,1,1
7,06/11/17,Hammond,IN,41.6,-87.5,1,0
8,06/10/17,Versailles,KY,38,-84.7,1,0
9,06/08/17,Phelps,NY,43,-77,1,0
10,06/08/17,Rosemount,MN,44.7,-93.1,1,0
11,06/08/17,Huntsville,ON,45.3,-79.2,1,0
12,06/03/17,Kenora,ON,49.9,-94.4,1,0
13,06/02/17,Winnipeg,MB,49.9,-97.1,1,0
14,06/01/17,Livonia,MI,42.4,-83.4,1,0
15,06/01/17,Winkler,MB,49.2,-97.9,1,0
16,06/01/17,Mequon,WI,43.2,-88,1,0
17,06/01/17,Wilno,ON,45.5,-77.5,1,0
18,05/31/17,Ironwood,MI,46.5,-90.2,1,0
19,05/31/17,Erieville,NY,42.9,-75.7,1,0
20,05/29/17,Avon Lake,OH,41.5,-82,1,1
21,05/28/17,Searsport,ME,44.5,-68.9,1,0
22,05/28/17,Pembroke,ON,45.7,-77.3,1,0
23,05/28/17,Thorndike,ME,44.6,-69.2,1,0
24,05/27/17,Boulder Junction,WI,46.1,-89.6,1,0
25,05/27/17,Avon Lake,OH,41.5,-82,1,0
26,05/27/17,Freeport,ME,43.8,-70.1,1,0
27,05/23/17,Eveleth,MN,47.5,-92.5,1,0
28,05/22/17,Eagan,MN,44.8,-93.1,1,0
29,05/22/17,New Glarus,WI,42.8,-89.6,1,0
30,05/21/17,Indian Lake,NY,43.8,-74.3,1,0
31,05/21/17,Fairwater,WI,43.7,-88.9,1,0
32,05/21/17,Baltimore,MD,39.4,-76.7,1,0
33,05/20/17,Cobourg,ON,44,-78.2,1,0
34,05/20/17,Mahone Bay,NS,44.4,-64.3,1,0
35,05/20/17,MacTier,ON,45.1,-79.8,1,0
36,05/19/17,Oshawa,ON,43.9,-78.8,1,1
37,05/19/17,Sheboygan,WI,43.8,-87.7,1,0
38,05/19/17,Winnipeg,MB,49.9,-97.1,1,1
39,05/19/17,Desbarats,ON,46.3,-84.1,1,1
40,05/19/17,Kingston,ON,44.2,-76.5,1,0
41,05/19/17,Collinsville,IL,38.7,-89.9,1,0
42,05/18/17,Lakeville,MN,44.6,-93.2,1,1
43,05/18/17,Norwich,VT,43.7,-72.4,1,1
44,05/18/17,Toronto,ON,43.6,-79.5,1,0
45,05/17/17,Forestville,WI,44.7,-87.6,1,1
46,05/17/17,Hamilton,ON,43.3,-79.9,1,0
47,05/16/17,Brooklyn Park,NY,40.7,-74,1,0
48,05/16/17,Cambridge,NS,45.1,-64.6,1,0
49,05/16/17,Thunder Bay,ON,48.4,-89.2,1,0
50,05/16/17,Winnipeg,MB,49.9,-97.1,1,0
51,05/15/17,Muscoda,WI,43.2,-90.4,1,0
52,05/15/17,Garrettsville,OH,41.3,-81.1,1,0
