Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,06/03/15,Mount Albert,ON,44.1,-79.3,1,1
2,06/02/15,Wentworth,NH,43.9,-71.9,1,1
3,06/01/15,Hancock,ME,44.5,-68.2,1,0
4,06/01/15,Kernersville,NC,36.1,-80.1,1,0
5,05/28/15,Neenah,WI,44.2,-88.5,1,0
6,05/26/15,Naples,ME,44,-70.6,1,0
7,05/26/15,Cormorant,MN,46.8,-96.1,1,0
8,05/25/15,Mouth of Keswick,NB,46,-66.8,1,1
9,05/25/15,Cambridge Station,NS,45.1,-64.6,1,0
10,05/24/15,Montpelier,VT,44.3,-72.6,1,1
11,05/23/15,Bushnell,SD,44.3,-96.6,1,1
12,05/23/15,Watertown,SD,44.9,-97.2,1,0
13,05/23/15,Cushing,WI,45.6,-92.6,1,0
14,05/22/15,Winnipeg,MB,49.9,-97.1,1,0
15,05/21/15,Mishicot,WI,44.3,-87.6,1,0
16,05/20/15,Haliburton,ON,45.1,-78.5,1,0
17,05/20/15,Gilbert,MN,47.5,-92.5,1,0
18,05/19/15,Richfield,MN,44.9,-93.3,1,0
19,05/19/15,Crystal Lake,IL,42.2,-88.3,1,0
20,05/18/15,Cormorant,MN,46.8,-96.1,1,0
21,05/18/15,Livonia,MI,42.4,-83.4,1,1
22,05/18/15,Cleveland,WI,43.9,-87.8,1,0
23,05/17/15,duluth,MN,46.8,-92.1,1,1
24,05/17/15,Hyde Park,VT,44.6,-72.6,1,0
25,05/17/15,West Long Branch,NJ,40.3,-74,1,0
26,05/16/15,kenora,ON,49.8,-94.4,1,0
27,05/16/15,New Harmony,UT,37.5,-113.3,1,0
28,05/16/15,Oshawa,ON,43.9,-78.9,1,0
29,05/16/15,Fargo,ND,46.9,-96.8,1,0
30,05/16/15,Bobcaygeon,ON,44.6,-78.6,1,0
31,05/15/15,Cadott,WI,45,-91.2,1,1
32,05/15/15,Toronto,ON,43.7,-79.4,1,0
33,05/15/15,Rhinelander,WI,45.6,-89.4,1,1
34,05/15/15,Fergus Falls,MN,46.3,-96.1,1,0
35,05/15/15,Sherwood,WI,44.1,-88.3,1,0
36,05/15/15,Nashotah,WI,43.1,-88.4,1,0
37,05/15/15,Shorewood,WI,43.1,-87.9,1,0
38,05/15/15,Kohler,WI,43.7,-87.8,1,0
39,05/15/15,Wild Rose,WI,44.2,-89.2,1,0
