Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,06/15/13,Viking,MN,48.2,-96.5,1,0
2,06/10/13,Ironwood,MI,46.5,-90.2,1,0
3,06/08/13,Winnipeg,MB,49.9,-97.1,1,0
4,06/08/13,Gilbert,MN,47.5,-92.4,1,0
5,06/08/13,Saginaw,MN,46.9,-92.5,1,0
6,06/06/13,Parshall,ND,48,-102.1,1,0
7,06/06/13,Parshall,ND,48,-102.1,1,0
8,06/06/13,Warren,MN,48.3,-96.7,1,0
9,06/03/13,Watertown,SD,44.9,-97.2,1,0
10,06/03/13,kenora,ON,49.8,-94.4,1,0
11,06/02/13,Aitkin,MN,46.5,-93.5,1,0
12,06/01/13,Regina,SK,50.5,-104.6,1,0
13,05/31/13,Mahone Bay,NS,44.5,-64.4,1,0
14,05/30/13,Corinth,NY,43.2,-73.9,1,0
15,05/30/13,Chassell,MI,47,-88.6,1,0
16,05/29/13,thunder bay,ON,48.4,-89.2,1,0
17,05/29/13,Shorewood,WI,43.1,-87.9,1,0
18,05/29/13,Bark River,MI,45.7,-87.3,1,0
19,05/29/13,Owego,NY,42.1,-76.3,1,0
20,05/28/13,taunton,MA,41.9,-71.1,1,0
21,05/28/13,Hillsboro,NH,43.1,-71.9,1,0
22,05/28/13,Green Bay,WI,44.5,-88,1,0
23,05/28/13,Forest City,IA,43.3,-93.6,1,0
24,05/27/13,Windsor,CT,41.9,-72.7,1,0
25,05/27/13,Princeton,MN,45.6,-93.6,1,1
26,05/27/13,Pittsfield,ME,44.8,-69.4,1,0
27,05/27/13,Winnipeg,MB,49.9,-97.1,1,1
28,05/27/13,Tupper Lake,NY,44.2,-74.4,1,0
29,05/26/13,Duluth,MN,47.1,-91.9,1,0
30,05/26/13,Chubbuck,ID,42.9,-112.5,1,0
31,05/26/13,Ringwood,NJ,41.1,-74.3,1,0
32,05/25/13,Howell,MI,42.6,-83.9,1,0
33,05/25/13,Campell,MN,46.1,-96.4,1,0
34,05/24/13,Bowmanville,ON,43.9,-78.7,1,0
35,05/24/13,Haliburton,ON,45.1,-78.5,1,0
36,05/24/13,Trimbelle,WI,44.7,-92.6,1,0
37,05/23/13,Eau Claire,WI,44.8,-91.5,1,0
38,05/23/13,reston,VA,39,-77.3,1,0
39,05/23/13,Elmhurst,IL,41.9,-87.9,1,0
40,05/22/13,Wooster,OH,40.8,-82,1,0
