Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,07/15/16,Muncie,IN,40.2,-85.4,1,0
2,06/29/16,Bella Vista,AR,36.5,-94.4,1,0
3,06/18/16,Rowland Hights,CA,34,-117.9,1,0
4,06/16/16,Bemidji,MN,47.5,-94.9,1,0
5,06/15/16,North Bay,ON,46.3,-79.4,1,0
6,06/11/16,Halifax,NS,44.6,-63.6,1,0
7,06/03/16,Valentine,NE,42.9,-100.6,1,0
8,06/02/16,Combermere,ON,45.4,-77.6,1,0
9,06/01/16,Montr̩al,QC,45.5,-73.6,1,0
10,05/30/16,Oakland,IA,41.3,-95.3,1,1
11,05/28/16,Mahone Bay,NS,44.4,-64.4,1,0
12,05/27/16,Winkler,MB,49.2,-97.9,1,0
13,05/27/16,Ripley,ON,44.1,-81.6,1,0
14,05/26/16,Tupper Lake,NY,44.2,-74.3,1,0
15,05/26/16,Rockbridge Baths,VA,37.9,-79.4,1,0
16,05/25/16,Lincoln,ON,43.2,-79.5,1,0
17,05/25/16,Selinsgrove,PA,40.8,-76.9,1,0
18,05/25/16,Hudson,OH,41.2,-81.4,1,0
19,05/23/16,Sedgwick,ME,44.4,-68.7,1,1
20,05/23/16,East Saint Paul,MB,50,-97,1,0
21,05/23/16,Arcade,NY,42.6,-78.4,1,1
22,05/23/16,Milton,ON,43.5,-79.9,1,1
23,05/23/16,Toronto,ON,43.6,-79.5,1,0
24,05/23/16,Whitby,ON,43.9,-78.9,1,1
25,05/23/16,Kenora,ON,49.8,-94.5,1,0
26,05/23/16,New Castle,PA,41.1,-80.4,1,1
27,05/23/16,Toronto,ON,43.6,-79.5,1,0
28,05/22/16,West Dundee,IL,42.1,-88.3,1,1
29,05/22/16,Hopewell Junction,NY,41.6,-73.8,1,0
30,05/22/16,Montello,WI,43.8,-89.2,1,0
31,05/21/16,Oshawa,ON,43.9,-78.8,1,0
32,05/21/16,Boyne City,MI,45.3,-85.1,1,0
33,05/21/16,Midland,MI,43.5,-84.3,1,0
34,05/21/16,Orillia,ON,44.6,-79.4,1,0
35,05/21/16,Hudson,QC,45.5,-74.1,1,0
36,05/21/16,Penetanguishene,ON,44.8,-79.9,1,0
37,05/21/16,Roseville,CA,38.7,-121.3,1,0
38,05/20/16,Willingboro,NJ,40,-74.9,1,0
39,05/20/16,Harrisville,MI,44.7,-83.3,1,0
40,05/20/16,Waukesha,WI,43,-88.3,1,0
41,05/20/16,Boulder Junction,WI,46.1,-89.6,1,0
42,05/20/16,Keswick,NB,46,-66.8,1,1
43,05/20/16,Saint Joseph,MI,42.1,-86.5,1,0
44,05/20/16,La Grange Park,IL,41.8,-87.9,1,0
45,05/20/16,Little Silver,NJ,40.3,-74,1,0
46,05/20/16,Kenora,ON,49.8,-94.5,1,0
47,05/20/16,Severn Bridge,ON,44.8,-79.4,1,0
48,05/20/16,Lowville,NY,43.8,-75.5,1,0
49,05/20/16,Hyde Park,VT,44.6,-72.6,1,0
50,05/19/16,Cambridge,NS,45.1,-64.6,1,0
51,05/19/16,Garrettsville,OH,41.3,-81.1,1,0
52,05/19/16,Chassell,MI,47,-88.5,1,0
53,05/19/16,Saint Paul,MN,44.9,-93.2,1,0
54,05/19/16,Eveleth,MN,47.5,-92.5,1,0
55,05/18/16,Fayetteville,NY,43,-76.1,1,1
56,05/18/16,Shevlin,MN,47.6,-95.1,1,1
57,05/18/16,Benton Harbor,MI,42.1,-86.5,1,0
58,05/18/16,Sherwood,WI,44.2,-88.3,1,0
59,05/18/16,Shelby charter Township,MI,42.7,-83,1,0
60,05/18/16,Shelby charter Township,MI,42.7,-83.1,1,0
61,05/17/16,blue earth,MN,43.6,-94.1,1,0
62,05/17/16,Willoughby,OH,41.7,-81.4,1,0
63,05/17/16,Fish Creek,WI,45.1,-87.2,1,0
64,05/16/16,Kenosha,WI,42.6,-87.8,1,0
65,05/16/16,Lakeville,NY,42.8,-77.7,1,0
66,05/16/16,Uxbridge,ON,44.1,-79.1,1,0
67,05/16/16,Hebbville,NS,44.4,-64.5,1,0
68,05/16/16,Vita,MB,49.1,-96.6,1,0
69,05/15/16,Cape Elizabeth,ME,43.6,-70.2,1,0
70,05/15/16,Carrollton,VA,36.9,-76.6,1,1
71,05/15/16,Schererville,IN,41.5,-87.5,1,0
72,05/14/16,Rochester,NY,43.2,-77.6,1,0
73,05/13/16,Melrose,MA,42.5,-71.1,1,0
74,05/13/16,Onley,VA,37.7,-75.7,1,0
75,05/13/16,Ironwood,MI,46.5,-90.2,1,0
76,05/13/16,Sarnia,ON,43,-82.3,1,0
77,05/12/16,Niagara,WI,45.7,-88,1,0
78,05/12/16,New Harmony,UT,37.5,-113.3,1,0
79,05/12/16,Harpswell,ME,43.8,-70,1,1
80,05/12/16,Savannah,NY,43,-76.7,1,1
81,05/11/16,Norwich,VT,43.7,-72.4,1,1
82,05/11/16,Toronto,ON,43.8,-79.1,1,0
83,05/11/16,Newmarket,ON,44.1,-79.5,1,0
84,05/11/16,New Harmony,UT,37.5,-113.3,1,0
85,05/11/16,Hamilton,ON,43.2,-79.9,1,0
86,05/11/16,Afton,MN,44.9,-92.8,1,1
87,05/11/16,Bay Village,OH,41.5,-81.9,1,0
88,05/11/16,Winnipeg,MB,49.9,-97.1,1,0
89,05/11/16,Lake Villa,IL,42.4,-88,1,0
90,05/10/16,Moline,IL,41.5,-90.5,1,1
91,05/10/16,Prattsville,NY,42.2,-74.4,1,0
92,05/10/16,Mediapolis,IA,41,-91.2,1,0
93,05/10/16,Thunder Bay,ON,48.4,-89.2,1,1
94,05/10/16,Oakton,VA,38.9,-77.3,1,0
95,05/10/16,Whitefish Bay,WI,43.1,-87.9,1,0
96,05/10/16,Toronto,ON,43.7,-79.3,1,0
97,05/10/16,New London,WI,44.4,-88.7,1,0
98,05/10/16,Gatineau,QC,45.4,-75.8,1,0
99,05/10/16,Crystal Lake,IL,42.2,-88.4,1,0
100,05/09/16,Fergus Falls,MN,46.3,-96.1,1,0
101,05/09/16,Rhinelander,WI,45.6,-89.4,1,0
102,05/09/16,Lumsden,SK,50.6,-104.9,1,0
103,05/09/16,Shrewsbury,NJ,40.3,-74.1,1,0
104,05/09/16,Waunakee,WI,43.2,-89.5,1,0
105,05/09/16,Pleasant Hill,MO,38.8,-94.3,1,0
106,05/09/16,Pleasant Hill,MO,38.8,-94.3,1,0
107,05/08/16,Grant,MN,45.1,-92.9,1,0
108,05/08/16,Minneapolis,MN,44.9,-93.3,1,0
109,05/08/16,Minneapolis,MN,44.9,-93.3,1,0
110,05/08/16,Lake Park,MN,46.7,-96.1,1,0
111,05/08/16,Wautoma,WI,44.1,-89.2,1,0
112,05/08/16,Winnipeg,MB,49.9,-97.1,1,0
113,05/08/16,Holmen,WI,44,-91.2,1,1
114,05/08/16,Holmen,WI,44,-91.2,1,1
115,05/08/16,Peebles,OH,39.2,-84.5,1,0
116,05/08/16,Barnstable,MA,41.6,-70.4,1,0
117,05/08/16,Stillwater,MN,45.1,-92.9,1,0
118,05/08/16,Douglas,MA,42.1,-71.7,1,0
119,05/08/16,Lisbon,ND,46.4,-97.7,1,0
120,05/08/16,Toronto,ON,43.6,-79.4,1,1
121,05/08/16,Canton,IL,40.6,-90,1,0
122,05/07/16,Kalamazoo,MI,42.4,-85.7,1,0
123,05/07/16,Wilson,NY,43.3,-78.9,1,1
124,05/07/16,Winnipeg,MB,49.9,-97.1,1,0
125,05/07/16,Toronto,ON,43.7,-79.4,1,0
126,05/07/16,Sullivan,ME,44.5,-68.2,1,1
127,05/07/16,Winfield,IL,41.9,-88.2,1,0
128,05/07/16,Corbeil,ON,46.3,-79.3,1,0
129,05/07/16,Albertville,MN,45.2,-93.7,1,0
130,05/07/16,Conroy,IA,41.7,-92,1,0
131,05/07/16,Sister Bay,WI,45.2,-87.2,1,0
132,05/06/16,Manitowoc,WI,44.1,-87.7,1,0
133,05/06/16,Fergus Falls,MN,46.3,-96.1,1,0
134,05/06/16,Grand Forks,ND,47.9,-97,1,1
135,05/06/16,Minto,ON,44,-80.9,1,0
136,05/06/16,Plymouth,MA,41.8,-70.6,1,0
137,05/06/16,Westhampton,MA,42.3,-72.8,1,0
138,05/06/16,Duluth,MN,46.8,-92,1,0
139,05/06/16,West Bend,WI,43.4,-88.2,1,0
140,05/06/16,Toronto,ON,43.7,-79.4,1,1
141,05/06/16,Saint Paul,MN,44.9,-93.1,1,0
142,05/06/16,Minnetonka,MN,44.9,-93.5,1,0
143,05/06/16,Brick,NJ,40,-74.1,1,0
144,05/06/16,Point Pleasant,WV,38.9,-82.1,1,0
145,05/06/16,Duluth,MN,46.8,-92.1,1,0
146,05/05/16,Little Falls,MN,46,-94.4,1,0
147,05/05/16,freeland,MD,39.7,-76.7,1,0
148,05/05/16,Fort Erie,ON,42.9,-79.1,1,1
149,05/05/16,Fort Erie,ON,42.9,-79,1,1
150,05/05/16,Monett,MO,36.9,-93.9,1,0
151,05/05/16,Osceola,WI,45.3,-92.5,1,0
152,05/05/16,Chatham-Kent,ON,42.4,-82.2,1,0
153,05/05/16,Tripoli,IA,42.8,-92.3,1,0
154,05/04/16,Yarmouth,MA,41.6,-70.2,1,0
155,05/04/16,Cobourg,ON,44,-78.2,1,0
156,05/04/16,Eau Claire,WI,44.8,-91.5,1,0
157,05/04/16,Lombard,IL,41.9,-88,1,0
158,05/04/16,Middletown,MD,39.4,-77.6,1,0
159,05/04/16,De Kalb,TX,33.5,-94.6,1,0
160,05/04/16,Rathdrum,ID,47.8,-116.9,1,1
161,05/04/16,Woodstock,IL,42.3,-88.4,1,0
162,05/04/16,Lansing,MI,42.7,-84.5,1,1
163,05/03/16,Eagan,MN,44.8,-93.2,1,0
164,05/03/16,Delafield,WI,43,-88.4,1,1
165,05/03/16,Annapolis,MD,39,-76.5,1,0
166,05/03/16,Franklin,WI,42.9,-88,1,1
167,05/03/16,Danville,IL,40.2,-87.7,1,1
168,05/03/16,Panhandle,TX,35.3,-101.6,1,0
169,05/03/16,Panhandle,TX,35.3,-101.6,1,0
170,05/03/16,Shakopee,MN,44.8,-93.5,1,0
171,05/03/16,South Bend,IN,41.6,-86.3,1,0
172,05/02/16,Mishicot,WI,44.2,-87.6,1,0
173,05/02/16,McFarland,WI,43,-89.3,1,1
174,05/02/16,Wheaton,IL,41.9,-88.1,1,1
175,05/02/16,Allenton,WI,43.4,-88.4,1,0
176,05/02/16,Wheeling,IL,42.1,-87.9,1,1
177,05/02/16,Fox Point,WI,43.2,-87.9,1,0
178,05/02/16,Lake Elmo,MN,45,-92.9,1,0
179,05/02/16,Winnipeg,MB,49.9,-97.1,1,0
180,05/02/16,Brooklyn Park,MN,45.1,-93.4,1,0
181,05/02/16,Ellsworth,WI,44.7,-92.6,1,0
182,05/02/16,Lansing,MI,42.7,-84.5,1,1
183,05/01/16,Hayward,WI,46,-91.5,1,1
184,05/01/16,Oakland,IA,41.3,-95.4,1,0
185,05/01/16,Gresham,WI,44.9,-88.8,1,0
186,05/01/16,Lake Station,IN,41.6,-87.2,1,0
187,05/01/16,Dennison,MN,44.4,-93,1,0
188,05/01/16,Lakeshore,ON,42.3,-82.7,1,0
189,05/01/16,Lindstrom,MN,45.4,-92.8,1,0
190,04/30/16,Parker,KS,38.3,-94.9,1,1
191,04/30/16,Ipswich,MA,42.7,-70.9,1,1
192,04/30/16,Farmington,MN,44.6,-93.1,1,0
193,04/29/16,Bellefontaine,OH,40.3,-83.7,1,0
194,04/29/16,Moline,IL,41.5,-90.5,1,1
195,04/29/16,Springfield Township,MI,42.8,-83.5,1,0
196,04/29/16,Sioux Falls,SD,43.5,-96.7,1,0
197,04/29/16,Shirland,IL,42.4,-89.2,1,0
198,04/29/16,North Mankato,MN,44.2,-94,1,0
199,04/29/16,Dearborn,MI,42.3,-83.2,1,0
200,04/29/16,Nescopeck,PA,41.1,-76.2,1,0
201,04/29/16,Holcomb,KS,38,-101,1,0
